title,type,equipment,muscle_group,description,difficulty
Glute Bridges,Strength,Bodyweight,Legs,Lie on back and raise hips upward to squeeze glutes.,Beginner
Hip Thrusts,Strength,Barbell,Legs,Place barbell across hips and thrust upward from seated position.,Intermediate
Sumo Deadlift,Strength,Barbell,Legs,Widen stance and lift barbell from floor with straight back.,Advanced
Single-Leg Deadlift,Strength,Dumbbell,Legs,Hinge at hips on one leg while lowering dumbbell to the floor.,Intermediate
Jump Squats,Strength,Bodyweight,Legs,Squat down and jump explosively before landing softly.,Intermediate
Wall Sit,Strength,Bodyweight,Legs,Sit against wall with thighs parallel and hold position.,Beginner
Calf Raises (Standing),Strength,Bodyweight,Legs,Stand tall and raise heels to contract calves.,Beginner
Calf Raises (Seated),Strength,Machine,Legs,Sit and raise heels against resistance to target calves.,Beginner
Smith Machine Squat,Strength,Machine,Legs,Perform squats with guided smith machine for support.,Intermediate
Box Jumps,Cardio,Bodyweight,Legs,Jump explosively onto a sturdy box or platform.,Intermediate
Sled Push,Strength,Sled,Legs,Push a weighted sled forward across the floor.,Advanced
Side Lunges,Strength,Bodyweight,Legs,Step out to the side and lunge with one leg while keeping other leg straight.,Beginner
Curtsy Lunges,Strength,Bodyweight,Legs,"Step one leg behind and across into a lunge, lowering hips.",Beginner
Overhead Barbell Press,Strength,Barbell,Shoulders,Press barbell overhead from shoulders until arms are extended.,Intermediate
Dumbbell Shoulder Press,Strength,Dumbbell,Shoulders,Press dumbbells upward from shoulder height until arms are extended.,Beginner
Arnold Press,Strength,Dumbbell,Shoulders,Rotate dumbbells from palms-in to palms-out while pressing overhead.,Intermediate
Military Press,Strength,Barbell,Shoulders,Press barbell overhead from standing military position.,Intermediate
Lateral Raises,Strength,Dumbbell,Shoulders,Lift dumbbells to the side until arms are parallel to floor.,Beginner
Front Raises,Strength,Dumbbell,Shoulders,Lift dumbbells straight in front of body to shoulder height.,Beginner
Rear Delt Fly,Strength,Dumbbell,Shoulders,Bend forward and lift dumbbells outward to target rear delts.,Intermediate
Upright Rows,Strength,Barbell,Shoulders,Pull barbell upward to chin with elbows flared outward.,Intermediate
Face Pulls,Strength,Cable,Shoulders,Pull cable ropes toward face at eye level.,Beginner
Shrugs (Barbell),Strength,Barbell,Shoulders,Hold barbell at sides and shrug shoulders upward.,Beginner
Shrugs (Dumbbell),Strength,Dumbbell,Shoulders,Hold dumbbells at sides and shrug shoulders upward.,Beginner
Smith Machine Shoulder Press,Strength,Machine,Shoulders,Perform seated overhead press with smith machine for support.,Intermediate
Overhead Press (Seated),Strength,Barbell,Shoulders,Press barbell overhead while seated with back support.,Intermediate
Machine Lateral Raises,Strength,Machine,Shoulders,Use machine to raise arms outward to the sides.,Beginner
Cable Lateral Raises,Strength,Cable,Shoulders,Raise cable handle outward to the side to shoulder height.,Beginner
Resistance Band Shoulder Press,Strength,Resistance Band,Shoulders,Press upward using resistance bands from shoulder height.,Beginner
Plate Front Raise,Strength,Plate,Shoulders,Hold weight plate and raise in front of body to shoulder level.,Beginner
Handstand Push-Up,Strength,Bodyweight,Shoulders,Perform push-ups in handstand position against a wall.,Advanced
Pike Push-Up,Strength,Bodyweight,Shoulders,Perform push-up with hips raised in pike position to target shoulders.,Intermediate
Cuban Press,Strength,Dumbbell,Shoulders,Externally rotate dumbbells then press overhead.,Advanced
Barbell Bicep Curl,Strength,Barbell,Biceps,Stand and curl the barbell upward to shoulder height then lower slowly.,Beginner
Dumbbell Bicep Curl,Strength,Dumbbell,Biceps,Hold dumbbells and curl them toward shoulders with palms up.,Beginner
Hammer Curl,Strength,Dumbbell,Biceps,Hold dumbbells with palms facing inward and curl upward.,Beginner
Incline Dumbbell Curl,Strength,Dumbbell,Biceps,Sit on incline bench and curl dumbbells to shoulders.,Intermediate
Concentration Curl,Strength,Dumbbell,Biceps,Sit and curl dumbbell with elbow braced against thigh.,Beginner
Preacher Curl (Barbell),Strength,Barbell,Biceps,Perform curls with upper arms supported on preacher bench.,Intermediate
Preacher Curl (Dumbbell),Strength,Dumbbell,Biceps,Curl dumbbell on preacher bench isolating biceps.,Beginner
Preacher Curl (Machine),Strength,Machine,Biceps,Use machine preacher bench to curl arms upward.,Beginner
Cable Curl,Strength,Cable,Biceps,Attach straight bar to cable and curl to shoulders.,Intermediate
Zottman Curl,Strength,Dumbbell,Biceps,Perform curl then rotate wrists downward on descent.,Intermediate
Spider Curl,Strength,Dumbbell,Biceps,Lay chest-down on bench and curl dumbbells upward.,Intermediate
21s Bicep Curl,Strength,Barbell,Biceps,Curl barbell in partial and full ranges of motion in sets of 21 reps.,Advanced
Reverse Curl,Strength,Barbell,Biceps,Curl barbell with overhand grip to target forearms and biceps.,Intermediate
Overhead Cable Curl,Strength,Cable,Biceps,Pull cable from overhead position down to shoulders.,Intermediate
Rope Hammer Curl,Strength,Cable,Biceps,Attach rope handle and curl upward with neutral grip.,Intermediate
EZ Bar Curl,Strength,Barbell,Biceps,Curl EZ bar with angled grip to reduce wrist strain.,Beginner
One-Arm Cable Curl,Strength,Cable,Biceps,Curl cable handle one arm at a time.,Beginner
Resistance Band Bicep Curl,Strength,Resistance Band,Biceps,Stand on band and curl handles upward.,Beginner
Cross-Body Curl,Strength,Dumbbell,Biceps,Curl dumbbell across torso toward opposite shoulder.,Beginner
Close-Grip Bench Press,Strength,Barbell,Triceps,Perform bench press with close grip to target triceps.,Intermediate
Tricep Dips,Strength,Bodyweight,Triceps,Lower and raise body using parallel bars for triceps focus.,Intermediate
Bench Dips,Strength,Bodyweight,Triceps,Place hands on bench behind you and dip body down and up.,Beginner
Skull Crushers (EZ Bar),Strength,Barbell,Triceps,Lower EZ bar toward forehead then extend arms.,Intermediate
Overhead Dumbbell Tricep Extension,Strength,Dumbbell,Triceps,Extend dumbbell overhead from behind head.,Beginner
Rope Pushdown,Strength,Cable,Triceps,Push rope attachment downward at cable station.,Beginner
Straight Bar Pushdown,Strength,Cable,Triceps,Push bar down from cable station to thighs.,Beginner
Kickbacks,Strength,Dumbbell,Triceps,Hinge forward and extend dumbbell backward to straighten arm.,Beginner
Reverse Grip Pushdown,Strength,Cable,Triceps,Push bar down with underhand grip.,Intermediate
Close-Grip Push-Ups,Strength,Bodyweight,Triceps,Perform push-ups with hands close together for triceps activation.,Beginner
JM Press,Strength,Barbell,Triceps,Lower bar halfway between bench press and skull crusher.,Advanced
One-Arm Dumbbell Tricep Extension,Strength,Dumbbell,Triceps,Hold dumbbell overhead and extend one arm.,Beginner
Lying Dumbbell Tricep Extension,Strength,Dumbbell,Triceps,Lay back and lower dumbbells behind head then extend.,Beginner
Machine Tricep Extension,Strength,Machine,Triceps,Use machine to extend arms downward for triceps.,Beginner
Resistance Band Tricep Pushdown,Strength,Resistance Band,Triceps,Anchor band overhead and push downward.,Beginner
Diamond Push-Ups,Strength,Bodyweight,Triceps,Perform push-ups with hands together under chest.,Beginner
Bodyweight Overhead Extension,Strength,Bodyweight,Triceps,Raise arms overhead and extend behind head using bodyweight.,Beginner
Parallel Bar Dips,Strength,Bodyweight,Triceps,Lower body on parallel bars until arms bent then press upward.,Intermediate
Cable Overhead Tricep Extension,Strength,Cable,Triceps,Extend cable handle overhead behind head.,Intermediate
Crunches,Core,Bodyweight,Core,Lay on back and lift shoulders toward knees by contracting abs.,Beginner
Sit-Ups,Core,Bodyweight,Core,Lay on back and raise torso fully upward then return.,Beginner
Bicycle Crunches,Core,Bodyweight,Core,Lay on back and alternate elbow-to-knee in pedaling motion.,Beginner
Leg Raises,Core,Bodyweight,Core,Lay on back and raise legs straight upward then lower slowly.,Beginner
Hanging Leg Raises,Core,Bodyweight,Core,Hang from bar and raise legs upward toward torso.,Intermediate
Plank,Core,Bodyweight,Core,Hold body in straight line supported by forearms and toes.,Beginner
Side Plank,Core,Bodyweight,Core,Hold body on one side supported by forearm and feet.,Beginner
Russian Twists,Core,Bodyweight,Core,Sit back slightly and twist torso side-to-side.,Beginner
Mountain Climbers,Core,Bodyweight,Core,Drive knees toward chest rapidly from plank position.,Beginner
Flutter Kicks,Core,Bodyweight,Core,Lay on back and alternate small leg kicks off floor.,Beginner
Cable Woodchopper,Core,Cable,Core,Pull cable diagonally across body from high to low.,Intermediate
Ab Wheel Rollout,Core,Bodyweight,Core,Kneel and roll ab wheel forward then pull back.,Intermediate
Toe Touches,Core,Bodyweight,Core,Lay on back and reach hands toward raised feet.,Beginner
Jackknife Sit-Ups,Core,Bodyweight,Core,Simultaneously raise legs and torso to meet at top.,Intermediate
V-Ups,Core,Bodyweight,Core,Lay on back and raise legs and arms together to form a V.,Intermediate
Reverse Crunch,Core,Bodyweight,Core,Lay on back and lift hips upward by curling abs.,Beginner
Hollow Body Hold,Core,Bodyweight,Core,Hold torso and legs slightly off floor in hollow position.,Intermediate
Cable Crunch,Core,Cable,Core,Kneel at cable station and crunch downward holding rope.,Intermediate
Decline Sit-Ups,Core,Bodyweight,Core,Lay on decline bench and sit up fully then return.,Intermediate
Standing Oblique Crunch,Core,Dumbbell,Core,Hold dumbbell at side and crunch torso sideways.,Beginner
Side Bend,Core,Dumbbell,Core,Hold dumbbell and bend sideways to target obliques.,Beginner
Swiss Ball Crunch,Core,Stability Ball,Core,Perform crunches while lying on stability ball.,Beginner
Weighted Sit-Up,Core,Plate,Core,Hold weight plate across chest and sit up.,Intermediate
Barbell Rollout,Core,Barbell,Core,Roll barbell forward from kneeling then pull back.,Advanced
Burpees,Cardio,Bodyweight,Cardio,Drop to push-up then jump explosively upward.,Intermediate
Jumping Jacks,Cardio,Bodyweight,Cardio,Jump while spreading arms and legs outward and inward.,Beginner
High Knees,Cardio,Bodyweight,Cardio,Run in place lifting knees to waist height.,Beginner
Jump Rope,Cardio,Bodyweight,Cardio,Jump repeatedly over swinging rope.,Beginner
Rowing Machine,Cardio,Machine,Cardio,Row using machine handle with legs and back drive.,Beginner
Assault Bike,Cardio,Machine,Cardio,Pedal bike while pushing and pulling handles.,Beginner
Running (Treadmill),Cardio,Machine,Cardio,Run at set pace on treadmill.,Beginner
Sprint Intervals,Cardio,Bodyweight,Cardio,"Sprint at max effort then rest, repeated.",Intermediate
Stair Climber,Cardio,Machine,Cardio,Step continuously on rotating stair machine.,Beginner
Battle Ropes,Cardio,Ropes,Cardio,Grip ropes and create waves with arms.,Intermediate
Kettlebell Swings,Cardio,Kettlebell,Cardio,Swing kettlebell from between legs to shoulder height.,Intermediate
Medicine Ball Slams,Cardio,Medicine Ball,Cardio,Raise ball overhead and slam it to the ground.,Intermediate
Farmer’s Carry,Cardio,Dumbbell,Cardio,Walk holding heavy dumbbells at sides.,Intermediate
Turkish Get-Up,Cardio,Kettlebell,Cardio,Move from floor to standing while holding kettlebell overhead.,Advanced
Clean and Press,Cardio,Barbell,Cardio,Lift barbell from floor to shoulders and press overhead.,Advanced
Snatch,Cardio,Barbell,Cardio,Lift barbell overhead in one explosive motion.,Advanced
Push Press,Cardio,Barbell,Cardio,Use legs to help press barbell overhead.,Intermediate
Good Mornings,Cardio,Barbell,Cardio,Hinge at hips with barbell on shoulders and return upright.,Advanced
Box Jumps,Cardio,Bodyweight,Cardio,Jump explosively onto a sturdy box or platform.,Intermediate
Wall Sits,Cardio,Bodyweight,Cardio,Hold seated position against wall with thighs parallel.,Beginner
Sled Push,Cardio,Sled,Cardio,Push weighted sled forward across floor.,Advanced
Bear Crawls,Cardio,Bodyweight,Cardio,Crawl forward on hands and feet while keeping hips low.,Beginner
Man Makers,Cardio,Dumbbell,Cardio,"Combine push-up, row, squat, and press with dumbbells.",Advanced
Burpee Pull-Up,Cardio,Bodyweight,Cardio,Perform burpee then jump into pull-up.,Advanced
Thrusters,Cardio,Barbell,Cardio,Perform front squat then push press in one movement.,Advanced
Jump Squat,Cardio,Bodyweight,Cardio,Squat down and jump explosively upward.,Intermediate
Kettlebell Snatch,Cardio,Kettlebell,Cardio,Lift kettlebell overhead in one explosive motion.,Advanced
Sandbag Carry,Cardio,Sandbag,Cardio,Carry sandbag over distance for strength and endurance.,Advanced
Row to Press,Cardio,Dumbbell,Cardio,Row dumbbells then immediately press overhead.,Intermediate
